dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,12,7,3,1,1,0.1516376500003389,0.11459751200163737
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,9,9,6,1,1,0.23172633300055168,0.12459865799974068
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,13,5,1,1,0.15106174299944541,0.1165336349986319
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,7,7,1,1,0.15027110800292576,0.11093879599866341
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,11,9,6,1,1,0.5082539089999045,0.5856157270027325
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,3,39,23,1,1,0.37436097800309653,0.5306621370000357
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,28,1,1,0.3522181719999935,0.5332190369990712
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,70,70,1,1,0.3686442549987987,0.5704481930006295
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,13,19,1,1,1,0.7168063789977168,1.1573165179979696
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,2,64,48,1,1,0.6506476199974713,1.1951810419996036
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,121,100,1,1,0.7331652249995386,1.1353357340012735
