dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,17,6,6,1,1,16.51463595200039,0.11110094600007869
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,6,6,1,1,16.51463595200039,0.1099060560009093
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,6,6,1,1,16.51463595200039,0.10665447800056427
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,12,7,3,1,1,0.1516376500003389,0.11459751200163737
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,12,7,3,1,1,0.1516376500003389,0.11016637600187096
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,12,7,3,1,1,0.1516376500003389,0.10461518599913688
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,5,12,1,1,1,0.13353713899778086,0.12579621099939686
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,12,1,1,1,0.13353713899778086,0.12135860700072953
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,12,1,1,1,0.13353713899778086,0.12167254400264937
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,9,9,6,1,1,0.23172633300055168,0.12459865799974068
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,9,9,6,1,1,0.23172633300055168,0.12558117000298807
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,9,9,6,1,1,0.23172633300055168,0.1257404649986711
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,2,16,10,1,1,0.14877845400042133,0.11957416399673093
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,16,10,1,1,0.14877845400042133,0.10396681899874238
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,16,10,1,1,0.14877845400042133,0.10940687399852322
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,13,5,1,1,0.15106174299944541,0.1165336349986319
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,13,5,1,1,0.15106174299944541,0.10777361899818061
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,13,5,1,1,0.15106174299944541,0.1075010150016169
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,2,26,8,1,1,0.1351632090008934,0.11204193999947165
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,26,8,1,1,0.1351632090008934,0.10600265800167108
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,26,8,1,1,0.1351632090008934,0.1044296980035142
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,7,7,1,1,0.15027110800292576,0.11093879599866341
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,4,7,7,1,1,0.15027110800292576,0.13151770100012072
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,4,7,7,1,1,0.15027110800292576,0.13043800499872304
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,22,7,3,1,1,0.41282921000311035,0.5364270039972325
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,22,7,3,1,1,0.41282921000311035,0.5852548850016319
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,22,7,3,1,1,0.41282921000311035,0.6295776999977534
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,11,9,6,1,1,0.5082539089999045,0.5856157270027325
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,11,9,6,1,1,0.5082539089999045,0.5443549129995517
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,11,9,6,1,1,0.5082539089999045,0.534605630000442
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,3,34,23,1,1,0.3742729120021977,0.553725129000668
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,34,23,1,1,0.3742729120021977,0.6001512599978014
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,34,23,1,1,0.3742729120021977,0.5675081019981008
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,3,39,23,1,1,0.37436097800309653,0.5306621370000357
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,39,23,1,1,0.37436097800309653,0.5354580860002898
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,39,23,1,1,0.37436097800309653,0.529188073000114
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,0,82,70,1,1,0.38021092300186865,0.5592166690003069
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,82,70,1,1,0.38021092300186865,0.5893733010016149
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,82,70,1,1,0.38021092300186865,0.5601594889994885
