dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
wine,real,real_builtin,real,approx_knn_only,178,13,,True,50,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,49,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,48,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,47,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,46,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,45,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,44,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,43,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,42,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,41,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,40,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,39,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,38,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,37,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,36,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,35,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,34,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,33,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,32,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,31,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,30,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,29,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,28,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,27,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,26,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,25,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,24,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,23,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,22,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,21,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,20,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,19,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,18,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,17,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,16,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,15,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,14,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,13,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,12,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
wine,real,real_builtin,real,approx_knn_only,178,13,,True,11,True,1,178,178,8900,0,13,13,3,3,1,1,18.270878780982457,0.02289668598677963
