dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,50,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,49,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,48,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,47,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,46,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,45,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,44,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,43,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,42,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,41,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,40,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,39,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,38,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,37,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,36,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,35,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,34,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,33,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,32,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,31,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,30,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,29,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,28,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,27,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,26,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,25,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,24,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,23,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,22,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,21,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,20,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,19,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,18,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,17,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,16,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,15,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,14,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,13,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,12,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,11,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,10,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,9,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,8,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,7,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,6,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,5,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,4,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,3,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42,False,2,False,268,2915,51,2500000,0,223,0,26011,223,31,42,21.353241046999756,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42,False,50,False,144,31293,51,2524753,223,223,0,26011,223,31,42,21.353241046999756,6.313849249003397
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42,False,49,False,144,31293,51,2524753,223,223,0,26011,223,31,42,21.353241046999756,6.313849249003397
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42,False,48,False,144,31293,51,2524753,223,223,0,26011,223,31,42,21.353241046999756,6.313849249003397
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42,False,47,False,144,31293,51,2524753,223,223,0,26011,223,31,42,21.353241046999756,6.313849249003397
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42,False,46,False,144,31293,51,2524753,223,223,0,26011,223,31,42,21.353241046999756,6.313849249003397
