dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,50,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,49,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,48,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,47,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,46,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,45,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,44,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,43,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,42,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,41,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,40,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,39,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,38,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,37,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,36,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,35,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,34,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,33,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,32,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,31,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,30,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
von_mises-iid-n50000-d128-seed42,synthetic,von_mises,iid,approx_knn_only,50000,128,42,False,29,True,1,50000,50000,2500000,0,223,0,8661,223,1,2,37.90031085400551,6.358827028001542
