dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,12,7,3,1,1,0.3534484570000131,0.1309542329999544
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,9,9,6,1,1,0.3301562569999987,0.1230964000000085
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,13,5,1,1,0.3284216979999996,0.1195471149999889
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,7,7,1,1,0.3464320129999692,0.1234209739999983
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,128,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,5,10,4,1,1,0.341333168999995,0.1293191420000425
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,11,9,6,1,1,1.1986596420000524,0.7504947800000537
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,3,39,23,1,1,1.1500985540000102,0.6672626089999767
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,28,1,1,1.1156974350000155,0.6614776690000781
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,70,70,1,1,1.2089490969999588,0.6590571420000515
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,128,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,103,70,1,1,1.2529859700000543,0.6604898800000001
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,13,19,1,1,1,2.228042956999957,1.2912405399999898
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,2,64,48,1,1,1.871358895999947,1.1056253049999896
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,121,100,1,1,1.7477938949999725,1.107603289999929
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,237,100,1,1,1.8312456969999855,1.0732373679999228
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,128,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,322,100,1,1,2.505124439000042,1.380236148999984
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,2,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,13,29,24,1,1,4.647338278999996,2.5980215319999616
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,10,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,2,119,18,1,1,4.59984066100003,2.70732155099995
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,32,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,391,158,1,1,4.754107949000058,2.773576133000006
gaussian-separated-n25000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,64,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,799,158,1,1,5.332717346999971,2.675813113000004
gaussian-separated-n25000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,128,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,1242,158,1,1,6.362129051000011,2.6488422959998843
gaussian-separated-n50000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,2,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,14,39,32,1,1,9.661741054000004,5.895297926000012
gaussian-separated-n50000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,10,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,1,189,136,1,1,11.244630437000067,6.301176446999989
gaussian-separated-n50000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,32,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,931,223,1,1,11.637934997000002,6.232063761000063
gaussian-separated-n50000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,64,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,1886,223,1,1,12.873883880999983,6.300536020999971
gaussian-separated-n50000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,50000,128,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,3228,223,1,1,16.032735772000024,6.468173013000069
gaussian-separated-n100000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,2,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,17,44,9,1,1,20.366016992999903,13.2410652640001
gaussian-separated-n100000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,100000,10,42.0,False,2,50,49,False,0.0,6,16667,16666,5000000,0,316,1,309,148,2,2,24.17738518100009,13.372064428000158
