dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,17,6,6,1,1,17.653936063999993,0.1295885310000244
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,6,6,1,1,17.653936063999993,0.1310132640000461
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,6,6,1,1,17.653936063999993,0.127301349999982
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,12,7,3,1,1,0.3534484570000131,0.1309542329999544
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,12,7,3,1,1,0.3534484570000131,0.1307795560000499
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,12,7,3,1,1,0.3534484570000131,0.121609334000027
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,5,12,1,1,1,17.608883115000026,0.1179252480000059
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,12,1,1,1,17.608883115000026,0.1254687039999567
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,12,1,1,1,17.608883115000026,0.1125398240000095
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,9,9,6,1,1,0.3301562569999987,0.1230964000000085
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,9,9,6,1,1,0.3301562569999987,0.1149853579999558
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,9,9,6,1,1,0.3301562569999987,0.1146146610000187
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,2,16,10,1,1,17.560327744000006,0.1183878200000094
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,16,10,1,1,17.560327744000006,0.1156066370000417
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,16,10,1,1,17.560327744000006,0.1087039469999808
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,13,5,1,1,0.3284216979999996,0.1195471149999889
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,13,5,1,1,0.3284216979999996,0.1141211929999599
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,32,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,13,5,1,1,0.3284216979999996,0.1239544950000208
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,2,26,8,1,1,19.041076497999995,0.1230309470000179
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,26,8,1,1,19.041076497999995,0.1247795940000173
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,2,26,8,1,1,19.041076497999995,0.1178526240000223
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,7,7,1,1,0.3464320129999692,0.1234209739999983
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,4,7,7,1,1,0.3464320129999692,0.1272194499999841
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,64,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,4,7,7,1,1,0.3464320129999692,0.1161526300000446
gaussian-iid-n1000-d128-seed42,synthetic,gaussian,iid,approx_knn_only,1000,128,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,1,29,17,1,1,17.480996196000035,0.1250443260000224
gaussian-iid-n1000-d128-seed42,synthetic,gaussian,iid,random_sqrt_clique,1000,128,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,1,29,17,1,1,17.480996196000035,0.1286414950000107
gaussian-iid-n1000-d128-seed42,synthetic,gaussian,iid,score_sg_antihub,1000,128,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,1,29,17,1,1,17.480996196000035,0.1276471040000046
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,128,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,5,10,4,1,1,0.341333168999995,0.1293191420000425
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,1000,128,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,10,4,1,1,0.341333168999995,0.1262942440000074
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,1000,128,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,5,10,4,1,1,0.341333168999995,0.1282912280000232
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,22,7,3,1,1,19.424668260999965,0.6700167949999241
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,22,7,3,1,1,19.424668260999965,0.6837384250000014
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,22,7,3,1,1,19.424668260999965,0.6787432169999192
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,11,9,6,1,1,1.1986596420000524,0.7504947800000537
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,11,9,6,1,1,1.1986596420000524,0.6984317349999856
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,2,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,11,9,6,1,1,1.1986596420000524,0.7249685510000745
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,3,34,23,1,1,19.32162194099999,0.6485364619999245
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,34,23,1,1,19.32162194099999,0.6482407280000189
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,34,23,1,1,19.32162194099999,0.6500027980000596
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,3,39,23,1,1,1.1500985540000102,0.6672626089999767
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,39,23,1,1,1.1500985540000102,0.6480577170000288
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,10,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,3,39,23,1,1,1.1500985540000102,0.6743836670000292
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,0,81,70,1,1,19.89020481199998,0.6552014709999412
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,81,70,1,1,19.89020481199998,0.6546073839999735
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,81,70,1,1,19.89020481199998,0.6555673560000059
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,28,1,1,1.1156974350000155,0.6614776690000781
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,1,65,28,1,1,1.1156974350000155,0.6482478490000858
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,1,65,28,1,1,1.1156974350000155,0.6471699329999865
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,0,149,70,1,1,20.064701934000027,0.6924572699999771
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,149,70,1,1,20.064701934000027,0.6766889589999892
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,149,70,1,1,20.064701934000027,0.690440828000078
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,70,70,1,1,1.2089490969999588,0.6590571420000515
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,70,70,1,1,1.2089490969999588,0.6547820299999785
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,70,70,1,1,1.2089490969999588,0.7305453449999959
