dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,50,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,49,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,48,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,47,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,46,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,45,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,44,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,43,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,42,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,41,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,40,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,39,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,38,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,37,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,36,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,35,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,34,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,33,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,32,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,31,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,30,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,29,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,28,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,27,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,26,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,25,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,24,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,23,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,22,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,21,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,20,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,19,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,18,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,17,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,16,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,15,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,14,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,13,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,12,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,11,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,10,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,9,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,8,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,7,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,6,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,5,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,4,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,3,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,500000,128,42,False,2,False,6,83334,83333,25000000,0,707,0,66907,707,1,1,252.2499744679999,71.14438892900034
gaussian-separated-n500000-d128-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,500000,128,42,False,50,True,1,500000,500000,25249571,707,707,0,66907,707,1,1,252.2499744679999,71.10132254600012
