dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k,connected,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,50,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,49,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,48,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,47,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,46,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,45,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,44,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,43,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,42,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,41,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,40,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,39,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,38,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,37,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,36,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,35,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,34,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,33,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,32,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,31,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,30,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,29,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,28,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,27,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42,False,26,False,687,2557,51,5000000,0,316,0,46160,316,87,88,30.392733464999765,14.711882069999774
