dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,2,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,12,7,3,1,1,17.73536108899998,0.1270508919999429
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,10,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,9,9,6,1,1,17.709305509999922,0.1268955910001068
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,32,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,13,5,1,1,18.573167479000062,0.1146890720000328
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,64,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,4,7,7,1,1,17.752164467,0.1200282300000026
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,1000,128,42,False,2,50,49,False,0.0,6,167,166,50000,0,31,5,10,4,1,1,18.17856126300001,0.1239995829999998
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,2,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,11,9,6,1,1,18.622184651999987,0.657355119999977
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,10,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,3,39,23,1,1,18.700707857,0.5773339109999824
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,32,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,28,1,1,18.919133870999985,0.6580120589999865
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,64,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,70,70,1,1,18.800373504999985,0.6173088059999827
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,128,42,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,103,70,1,1,19.744104023999967,0.8009888979999573
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,2,42,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,13,19,1,1,1,21.145383879000008,1.1114769460000389
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,10,42,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,2,64,48,1,1,19.843786208999973,1.275486409999985
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,32,42,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,121,100,1,1,19.713366038999997,1.1625519419999932
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,64,42,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,237,100,1,1,20.034108385000025,1.4003205019999996
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,128,42,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,320,100,1,1,22.82253671000001,1.1656307049998986
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,2,42,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,13,29,24,1,1,22.665081033999968,3.1383770080000204
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,10,42,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,2,119,18,1,1,23.300120547999995,3.3009381279999843
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,32,42,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,391,158,1,1,23.16256235700007,3.0141648839999107
