benchmark_group,dataset,family,distribution,structure,n_samples,n_features,n_clusters_true,seed,normalized,k,k_max,reference_method,hai_definition,method,method_key,status,error,fit_seconds,extract_seconds,total_seconds,workflow_seconds_contribution,n_clusters_found,ari_vs_hdbscan_generic,ari_vs_true,hai,mst_edge_jaccard,mst_common_edges,mst_method_edges,mst_reference_edges,mst_weight_mae_common,mst_weight_rmse_common
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.5347324190079235,0.0,1.5347324190079235,1.5347324190079235,0,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.2587219300039578,0.0,0.2587219300039578,0.2587219300039578,0,1.0,,0.999997176512,0.04998949800462088,476,4999,4999,2.5274483719736033e-16,3.8786362456812064e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,1.558999065309763e-05,16.848087083984865,16.848087083984865,3,0.0,,0.999995040224,0.9794100178182538,4947,4999,4999,2.616244096390881e-08,3.7246988348594244e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,9.342009434476495e-06,1.3493125759996474,1.3493125759996474,3,0.0,,0.999995040224,0.9794100178182538,4947,4999,4999,2.616244096390881e-08,3.7246988348594244e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.564284129999578,0.0,1.564284129999578,1.564284129999578,2,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.26427556699491106,0.0,0.26427556699491106,0.26427556699491106,2,1.0,,0.999997232768,0.057541781256610955,544,4999,4999,2.479123932285678e-16,3.721804171032842e-16
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,16.848071493994212,0.22582147497450933,17.07389296896872,0.22582147497450933,3,0.6142629589950352,,0.999996056416,0.9798019801980198,4948,4999,4999,2.5941237307645374e-08,3.679646785496642e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.349303233990213,0.23424711197731085,1.5835503459675238,0.23424711197731085,3,0.6142629589950352,,0.999996056416,0.9798019801980198,4948,4999,4999,2.5941237307645374e-08,3.679646785496642e-08
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7216630699986126,0.0,1.7216630699986126,1.7216630699986126,2,1.0,,1.0,1.0,4999,4999,4999,0.0,0.0
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.27421472599962726,0.0,0.27421472599962726,0.27421472599962726,2,1.0,,0.999997694272,0.048557944415312006,463,4999,4999,2.490208663225108e-16,3.772951058697186e-16
