benchmark_group,dataset,family,distribution,structure,n_samples,n_features,n_clusters_true,seed,normalized,k,k_max,reference_method,hai_definition,method,method_key,status,error,fit_seconds,extract_seconds,total_seconds,workflow_seconds_contribution,n_clusters_found,ari_vs_hdbscan_generic,ari_vs_true,hai,mst_edge_jaccard,mst_common_edges,mst_method_edges,mst_reference_edges,mst_weight_mae_common,mst_weight_rmse_common
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.819115260004764,0.0,5.819115260004764,5.819115260004764,1,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8406345440016594,0.0,0.8406345440016594,0.8406345440016594,1,1.0,,0.999998413888,0.0675278919553728,1265,9999,9999,3.9437052657337084e-16,5.994628349686852e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,1.0588002623990178e-05,2.989527874015039,2.989527874015039,3,0.1185118963717479,,0.999997191192,0.9805882935525404,9901,9999,9999,2.5236607752287485e-08,3.6453922394881855e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,8.816015906631947e-06,2.750490107020596,2.750490107020596,3,0.1185118963717479,,0.999997191192,0.9805882935525404,9901,9999,9999,2.5236607752287485e-08,3.6453922394881855e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.769879936997313,0.0,5.769879936997313,5.769879936997313,2,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8762319009983912,0.0,0.8762319009983912,0.8762319009983912,2,1.0,,0.999998553592,0.0647995314413503,1217,9999,9999,3.878710554601487e-16,5.724811989928805e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,0.6133153609989677,3.6028326470113825,0.6133153609989677,2,-0.0279525545038593,,0.999997122588,0.981962338949455,9908,9999,9999,2.516337634958681e-08,3.622318239354037e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,0.6114737630123273,3.3619550540170167,0.6114737630123273,2,-0.0279525545038593,,0.999997122588,0.981962338949455,9908,9999,9999,2.516337634958681e-08,3.622318239354037e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.781040253001265,0.0,5.781040253001265,5.781040253001265,0,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8685847090091556,0.0,0.8685847090091556,0.8685847090091556,0,1.0,,0.999998658768,0.0638931744427302,1201,9999,9999,4.168305075697676e-16,6.252610902254617e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,0.630734738020692,3.620252024033107,0.630734738020692,2,0.0,,0.999996342448,0.9790202869866402,9893,9999,9999,2.4957122350820207e-08,3.58403748579968e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,0.6292341470252723,3.3797154380299617,0.6292341470252723,2,0.0,,0.999996342448,0.9790202869866402,9893,9999,9999,2.4957122350820207e-08,3.58403748579968e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.778280689992243,0.0,5.778280689992243,5.778280689992243,2,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.9440513790177648,0.0,0.9440513790177648,0.9440513790177648,2,1.0,,0.999998708544,0.0623671908202294,1174,9999,9999,4.0415806230764593e-16,6.274743497276742e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,0.6288823820068501,3.618399668019265,0.6288823820068501,2,-0.1078711270740963,,0.999996041676,0.977063766683144,9883,9999,9999,2.5324019415279103e-08,3.657234226167005e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,0.6235308169852942,3.374012107989984,0.6235308169852942,2,-0.1078711270740963,,0.999996041676,0.977063766683144,9883,9999,9999,2.5324019415279103e-08,3.657234226167005e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.878170675976435,0.0,5.878170675976435,5.878170675976435,2,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.9095149469794706,0.0,0.9095149469794706,0.9095149469794706,2,1.0,,0.99999863766,0.062988359113379,1185,9999,9999,3.9760740410388916e-16,6.032041934183837e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,0.6235990309796762,3.613116316992091,0.6235990309796762,2,-0.108323911928112,,0.999996221392,0.9753062030817858,9874,9999,9999,2.543862876552693e-08,3.6557026614956854e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,0.6264126510068309,3.3768939420115203,0.6264126510068309,2,-0.108323911928112,,0.999996221392,0.9753062030817858,9874,9999,9999,2.543862876552693e-08,3.6557026614956854e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,45,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,5.879042437998578,0.0,5.879042437998578,5.879042437998578,2,1.0,,1.0,1.0,9999,9999,9999,0.0,0.0
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,45,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.8666810959985014,0.0,0.8666810959985014,0.8666810959985014,2,1.0,,0.999998071568,0.0687259512612227,1286,9999,9999,4.319704262511702e-16,6.711570613464314e-16
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,45,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,2.989517286012415,0.6455828949983697,3.6351001810107846,0.6455828949983697,2,-0.0491680711956826,,0.999995686644,0.9747210427569862,9871,9999,9999,2.5409316258324033e-08,3.691400884445482e-08
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,,42,False,45,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,2.7504812910046894,0.6277903640002478,3.378271655004937,0.6277903640002478,2,-0.0491680711956826,,0.999995686644,0.9747210427569862,9871,9999,9999,2.5409316258324033e-08,3.691400884445482e-08
