benchmark_group,dataset,family,distribution,structure,n_samples,n_features,method,method_key,k_values,successful_k_values,failed_k_values,mean_ari_vs_hdbscan_generic,min_ari_vs_hdbscan_generic,mean_ari_vs_true,min_ari_vs_true,mean_hai,min_hai,mean_total_seconds,cumulative_workflow_seconds,mean_n_clusters_found
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,HDBSCAN,hdbscan_generic,49,49,0,1.0,1.0,,,1.0,1.0,5.921448103406428,290.150957066915,83.95918367346938
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,Optimized HDBSCAN,optimized_hdbscan,49,49,0,0.9774015515861378,-0.0996716293343196,,,0.9999965341491428,0.999989344112,0.9612827986747272,47.10285713506164,87.26530612244898
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,ScoreSG,score_sg,49,49,0,0.2965147184656082,-0.108323911928112,,,0.9999840464677552,0.99993690102,3.619844489175546,33.87555024100584,30.020408163265305
synthetic,gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,ScoreSG Random,score_sg_random,49,49,0,0.2965147184656082,-0.108323911928112,,,0.9999840464677552,0.99993690102,3.373290823556944,33.26814838606515,30.020408163265305
synthetic,gaussian_sparse-iid-n10000-d32-seed42,synthetic,gaussian_sparse,iid,10000,32,HDBSCAN,hdbscan_generic,49,49,0,1.0,1.0,,,1.0,1.0,5.959652775143658,292.02298598203924,0.1632653061224489
synthetic,gaussian_sparse-iid-n10000-d32-seed42,synthetic,gaussian_sparse,iid,10000,32,Optimized HDBSCAN,optimized_hdbscan,49,49,0,1.0,1.0,,,0.9999997049355918,0.999998308972,4.579303887653122,224.38589049500297,0.1632653061224489
synthetic,gaussian_sparse-iid-n10000-d32-seed42,synthetic,gaussian_sparse,iid,10000,32,ScoreSG,score_sg,49,49,0,0.917762783229173,-0.1031585545883496,,,0.9995230165430204,0.999014097072,3.9458249434763424,35.076120135054225,0.0816326530612244
synthetic,gaussian_sparse-iid-n10000-d32-seed42,synthetic,gaussian_sparse,iid,10000,32,ScoreSG Random,score_sg_random,49,49,0,0.917762783229173,-0.1031585545883496,,,0.9995230165430204,0.999014097072,4.150091149414205,35.295285249943845,0.0816326530612244
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,HDBSCAN,hdbscan_generic,49,49,0,1.0,1.0,,,1.0,1.0,1.6372567108554328,80.22557883191621,33.714285714285715
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,Optimized HDBSCAN,optimized_hdbscan,49,49,0,0.9997890076549056,0.9902412175794896,,,0.9999932794004898,0.99997525744,0.27578797967444,13.51361100404756,33.714285714285715
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,ScoreSG,score_sg,49,49,0,0.3881547541839399,-0.103426260434042,,,0.9999722583092244,0.999876528448,17.106045398115754,29.48879279594985,9.79591836734694
synthetic,gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,ScoreSG Random,score_sg_random,49,49,0,0.3881547541839399,-0.103426260434042,,,0.9999722583092244,0.999876528448,1.6045611670920246,13.856941955978982,9.79591836734694
synthetic,gaussian_sparse-iid-n5000-d32-seed42,synthetic,gaussian_sparse,iid,5000,32,HDBSCAN,hdbscan_generic,49,49,0,1.0,1.0,,,1.0,1.0,1.6084788504094645,78.81546367006376,0.1632653061224489
