benchmark_group,dataset,family,distribution,structure,n_samples,n_features,n_clusters_true,seed,normalized,k,k_max,reference_method,hai_definition,method,method_key,status,error,fit_seconds,extract_seconds,total_seconds,workflow_seconds_contribution,n_clusters_found,ari_vs_hdbscan_generic,ari_vs_true,hai,mst_edge_jaccard,mst_common_edges,mst_method_edges,mst_reference_edges,mst_weight_mae_common,mst_weight_rmse_common
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.825341732997913,0.0,1.825341732997913,1.825341732997913,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6330437140131835,0.0,0.6330437140131835,0.6330437140131835,10,1.0,1.0,0.999999963424,0.018437404502393808,181,4999,4999,1.4569070320937414e-14,1.8419907650375057e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,1.4159013517200947e-05,18.358136779017514,18.358136779017514,10,1.0,1.0,0.8359999685439998,0.980978799286705,4951,4999,4999,2.3050785653787317e-07,2.876505852055988e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,50,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,1.2066011549904943e-05,1.0383658160280902,1.0383658160280902,10,1.0,1.0,0.8999999685440003,0.980978799286705,4951,4999,4999,2.3050785653787317e-07,2.876505852055988e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.7681841549929231,0.0,1.7681841549929231,1.7681841549929231,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6786623410007451,0.0,0.6786623410007451,0.6786623410007451,10,1.0,1.0,0.999999953248,0.019164118246687054,188,4999,4999,1.580532395269558e-14,2.0699111724894032e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.30203810799866915,18.660160728002666,0.30203810799866915,10,1.0,1.0,0.8359999613119998,0.9794100178182538,4947,4999,4999,2.238617612808371e-07,2.792183182226535e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,49,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.28749963801237755,1.3258533880289178,0.28749963801237755,10,1.0,1.0,0.8999999613120003,0.9794100178182538,4947,4999,4999,2.238617612808371e-07,2.792183182226535e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.787111912999535,0.0,1.787111912999535,1.787111912999535,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.7492709229991306,0.0,0.7492709229991306,0.7492709229991306,10,1.0,1.0,0.999999879904,0.018956379942927027,186,4999,4999,1.649576532717249e-14,2.1614262969027044e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.29254977699019946,18.650672396994196,0.29254977699019946,10,1.0,1.0,0.8359998889599998,0.9778437190900099,4943,4999,4999,2.2965789831976159e-07,2.852885454581941e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,48,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.2921093899931293,1.3304631400096696,0.2921093899931293,10,1.0,1.0,0.8999998889600003,0.9778437190900099,4943,4999,4999,2.2965789831976159e-07,2.852885454581941e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8164190409879666,0.0,1.8164190409879666,1.8164190409879666,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.7245153459953144,0.0,0.7245153459953144,0.7245153459953144,10,1.0,1.0,0.999999950656,0.018956379942927027,186,4999,4999,1.6357285896143974e-14,2.1296401202356295e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.29833323101047426,18.65645585101447,0.29833323101047426,10,1.0,1.0,0.8359999606079999,0.9782350613375544,4944,4999,4999,2.2536503376135638e-07,2.8206449206247537e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,47,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.2905018010060303,1.3288555510225706,0.2905018010060303,10,1.0,1.0,0.8999999606080002,0.9782350613375544,4944,4999,4999,2.2536503376135638e-07,2.8206449206247537e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8539793509989977,0.0,1.8539793509989977,1.8539793509989977,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,Optimized HDBSCAN,optimized_hdbscan,ok,,0.6667880040185992,0.0,0.6667880040185992,0.6667880040185992,10,1.0,1.0,0.999999964416,0.01906023850779737,187,4999,4999,1.682076937629943e-14,2.1284916470403842e-14
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG,score_sg,ok,,18.358122620003996,0.29728012200212106,18.655402742006117,0.29728012200212106,10,1.0,1.0,0.8359999657279998,0.9770614989123987,4941,4999,4999,2.260148212884857e-07,2.8417249052399683e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,46,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,ScoreSG Random,score_sg_random,ok,,1.0383537500165403,0.29346625099424273,1.331820001010783,0.29346625099424273,10,1.0,1.0,0.8999999657280003,0.9770614989123987,4941,4999,4999,2.260148212884857e-07,2.8417249052399683e-07
runtime,runtime-blobs-n5000-d20-c10-seed42,synthetic,gaussian_blobs,separated_clusters,5000,20,10,42,False,45,50,HDBSCAN,exact_single_linkage_pairwise_smallest_common_cluster_size_agreement,HDBSCAN,hdbscan_generic,ok,,1.8655684530094732,0.0,1.8655684530094732,1.8655684530094732,10,1.0,1.0,1.0,1.0,4999,4999,4999,0.0,0.0
