dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
gaussian-iid-n1000-d2-seed42,synthetic,gaussian,iid,1000,2,42.0,False,31,17,6,6,1,1,True,1
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,1000,2,42.0,False,31,12,7,3,1,1,True,1
gaussian-iid-n1000-d10-seed42,synthetic,gaussian,iid,1000,10,42.0,False,31,5,12,1,1,1,True,1
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,1000,10,42.0,False,31,9,9,6,1,1,True,1
gaussian-iid-n1000-d32-seed42,synthetic,gaussian,iid,1000,32,42.0,False,31,2,16,10,1,1,True,1
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,1000,32,42.0,False,31,6,13,5,1,1,True,1
gaussian-iid-n1000-d64-seed42,synthetic,gaussian,iid,1000,64,42.0,False,31,2,26,8,1,1,True,1
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,1000,64,42.0,False,31,4,7,7,1,1,True,1
gaussian-iid-n5000-d2-seed42,synthetic,gaussian,iid,5000,2,42.0,False,70,22,7,3,1,1,True,1
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,5000,2,42.0,False,70,11,9,6,1,1,True,1
gaussian-iid-n5000-d10-seed42,synthetic,gaussian,iid,5000,10,42.0,False,70,3,34,23,1,1,True,1
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,5000,10,42.0,False,70,3,39,23,1,1,True,1
gaussian-iid-n5000-d32-seed42,synthetic,gaussian,iid,5000,32,42.0,False,70,0,82,70,1,1,True,1
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,5000,32,42.0,False,70,1,65,28,1,1,True,1
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,5000,64,42.0,False,70,0,149,70,1,1,True,1
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,5000,64,42.0,False,70,0,70,70,1,1,True,1
gaussian-iid-n10000-d2-seed42,synthetic,gaussian,iid,10000,2,42.0,False,100,24,11,10,1,1,True,1
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,10000,2,42.0,False,100,13,19,1,1,1,True,1
gaussian-iid-n10000-d10-seed42,synthetic,gaussian,iid,10000,10,42.0,False,100,2,42,40,1,1,True,1
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,10000,10,42.0,False,100,2,64,48,1,1,True,1
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,10000,32,42.0,False,100,0,179,100,2,2,True,1
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,10000,32,42.0,False,100,0,121,100,1,1,True,1
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,10000,64,42.0,False,100,0,403,100,1,1,True,1
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,10000,64,42.0,False,100,0,237,100,1,1,True,1
poisson-iid-n1000-d2-seed42,synthetic,poisson,iid,1000,2,42.0,False,31,17,7,2,1,2,True,1
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,1000,2,42.0,False,31,13,3,3,1,1,True,1
poisson-iid-n1000-d10-seed42,synthetic,poisson,iid,1000,10,42.0,False,31,6,10,5,1,1,True,1
poisson-separated-n1000-d10-seed42,synthetic,poisson,separated_clusters,1000,10,42.0,False,31,6,8,5,1,1,True,1
poisson-iid-n1000-d32-seed42,synthetic,poisson,iid,1000,32,42.0,False,31,2,11,7,1,1,True,1
poisson-separated-n1000-d32-seed42,synthetic,poisson,separated_clusters,1000,32,42.0,False,31,6,12,6,1,1,True,1
poisson-iid-n1000-d64-seed42,synthetic,poisson,iid,1000,64,42.0,False,31,1,20,17,1,1,True,1
poisson-separated-n1000-d64-seed42,synthetic,poisson,separated_clusters,1000,64,42.0,False,31,4,13,4,1,1,True,1
poisson-iid-n5000-d2-seed42,synthetic,poisson,iid,5000,2,42.0,False,70,0,195,70,32,34,False,21
poisson-separated-n5000-d2-seed42,synthetic,poisson,separated_clusters,5000,2,42.0,False,70,13,32,3,2,2,True,1
poisson-iid-n5000-d10-seed42,synthetic,poisson,iid,5000,10,42.0,False,70,4,27,21,1,1,True,1
poisson-separated-n5000-d10-seed42,synthetic,poisson,separated_clusters,5000,10,42.0,False,70,4,33,1,1,1,True,1
poisson-iid-n5000-d32-seed42,synthetic,poisson,iid,5000,32,42.0,False,70,1,90,7,1,1,True,1
poisson-separated-n5000-d32-seed42,synthetic,poisson,separated_clusters,5000,32,42.0,False,70,1,65,31,1,1,True,1
poisson-iid-n5000-d64-seed42,synthetic,poisson,iid,5000,64,42.0,False,70,0,173,70,1,1,True,1
poisson-separated-n5000-d64-seed42,synthetic,poisson,separated_clusters,5000,64,42.0,False,70,1,91,1,1,1,True,1
poisson-iid-n10000-d2-seed42,synthetic,poisson,iid,10000,2,42.0,False,100,0,1190,100,10,22,False,36
