dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
gaussian-separated-n1000-d2-seed42,synthetic,gaussian,separated_clusters,1000,2,42,False,31,12,7,3,1,1,True,1
gaussian-separated-n1000-d10-seed42,synthetic,gaussian,separated_clusters,1000,10,42,False,31,9,9,6,1,1,True,1
gaussian-separated-n1000-d32-seed42,synthetic,gaussian,separated_clusters,1000,32,42,False,31,6,13,5,1,1,True,1
gaussian-separated-n1000-d64-seed42,synthetic,gaussian,separated_clusters,1000,64,42,False,31,4,7,7,1,1,True,1
gaussian-separated-n1000-d128-seed42,synthetic,gaussian,separated_clusters,1000,128,42,False,31,5,10,4,1,1,True,1
gaussian-separated-n5000-d2-seed42,synthetic,gaussian,separated_clusters,5000,2,42,False,70,11,9,6,1,1,True,1
gaussian-separated-n5000-d10-seed42,synthetic,gaussian,separated_clusters,5000,10,42,False,70,3,39,23,1,1,True,1
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,5000,32,42,False,70,1,65,28,1,1,True,1
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,5000,64,42,False,70,0,70,70,1,1,True,1
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,5000,128,42,False,70,0,103,70,1,1,True,1
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,10000,2,42,False,100,13,19,1,1,1,True,1
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,10000,10,42,False,100,2,64,48,1,1,True,1
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,10000,32,42,False,100,0,121,100,1,1,True,1
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,10000,64,42,False,100,0,237,100,1,1,True,1
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,10000,128,42,False,100,0,320,100,1,1,True,1
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,25000,2,42,False,158,13,29,24,1,1,True,1
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,25000,10,42,False,158,2,119,18,1,1,True,1
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,25000,32,42,False,158,0,391,158,1,1,True,1
gaussian-separated-n25000-d64-seed42,synthetic,gaussian,separated_clusters,25000,64,42,False,158,0,794,158,1,1,True,1
gaussian-separated-n25000-d128-seed42,synthetic,gaussian,separated_clusters,25000,128,42,False,158,0,1238,158,1,1,True,1
gaussian-separated-n50000-d2-seed42,synthetic,gaussian,separated_clusters,50000,2,42,False,223,14,39,32,1,1,True,1
gaussian-separated-n50000-d10-seed42,synthetic,gaussian,separated_clusters,50000,10,42,False,223,1,189,136,1,1,True,1
gaussian-separated-n50000-d32-seed42,synthetic,gaussian,separated_clusters,50000,32,42,False,223,0,931,223,1,1,True,1
gaussian-separated-n50000-d64-seed42,synthetic,gaussian,separated_clusters,50000,64,42,False,223,0,1885,223,1,2,True,1
gaussian-separated-n50000-d128-seed42,synthetic,gaussian,separated_clusters,50000,128,42,False,223,0,3213,223,1,1,True,1
gaussian-separated-n100000-d2-seed42,synthetic,gaussian,separated_clusters,100000,2,42,False,316,17,44,9,1,1,True,1
gaussian-separated-n100000-d10-seed42,synthetic,gaussian,separated_clusters,100000,10,42,False,316,1,309,148,2,2,True,1
gaussian-separated-n100000-d32-seed42,synthetic,gaussian,separated_clusters,100000,32,42,False,316,0,1989,316,1,2,True,1
gaussian-separated-n100000-d64-seed42,synthetic,gaussian,separated_clusters,100000,64,42,False,316,0,4636,316,1,2,True,1
